model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Action,049,0.6,15,4,2,2
deepgazeiie,Action,049,0.6,25,4,2,2
deepgazeiie,Action,049,0.6,35,4,2,2
deepgazeiie,Action,049,0.7,15,4,2,2
deepgazeiie,Action,049,0.7,25,4,2,2
deepgazeiie,Action,049,0.7,35,4,2,2
deepgazeiie,Action,051,0.5,15,8,6,2
deepgazeiie,Action,051,0.5,25,8,6,2
deepgazeiie,Action,051,0.5,35,8,6,2
deepgazeiie,Action,051,0.6,15,8,6,2
deepgazeiie,Action,051,0.6,25,8,6,2
deepgazeiie,Action,051,0.6,35,8,6,2
deepgazeiie,Action,051,0.7,15,8,6,2
deepgazeiie,Action,051,0.7,25,8,6,2
deepgazeiie,Action,051,0.7,35,8,6,2
deepgazeiie,Action,053,0.5,15,4,4,0
deepgazeiie,Action,053,0.5,25,4,4,0
deepgazeiie,Action,053,0.5,35,4,4,0
deepgazeiie,Action,053,0.6,15,4,4,0
deepgazeiie,Action,053,0.6,25,4,4,0
deepgazeiie,Action,053,0.6,35,4,4,0
deepgazeiie,Action,053,0.7,15,4,4,0
deepgazeiie,Action,053,0.7,25,4,4,0
deepgazeiie,Action,053,0.7,35,4,4,0
deepgazeiie,Action,055,0.5,15,4,3,1
deepgazeiie,Action,055,0.5,25,4,3,1
deepgazeiie,Action,055,0.5,35,4,3,1
deepgazeiie,Action,055,0.6,15,4,3,1
deepgazeiie,Action,055,0.6,25,4,3,1
deepgazeiie,Action,055,0.6,35,4,3,1
deepgazeiie,Action,055,0.7,15,4,3,1
deepgazeiie,Action,055,0.7,25,4,3,1
deepgazeiie,Action,055,0.7,35,4,3,1
deepgazeiie,Action,057,0.5,15,8,3,5
deepgazeiie,Action,057,0.5,25,8,3,5
deepgazeiie,Action,057,0.5,35,8,3,5
deepgazeiie,Action,057,0.6,15,8,3,5
deepgazeiie,Action,057,0.6,25,8,3,5
deepgazeiie,Action,057,0.6,35,8,3,5
deepgazeiie,Action,057,0.7,15,8,3,5
deepgazeiie,Action,057,0.7,25,8,3,5
deepgazeiie,Action,057,0.7,35,8,3,5
deepgazeiie,Action,059,0.5,15,40,2,38
deepgazeiie,Action,059,0.5,25,40,2,38
deepgazeiie,Action,059,0.5,35,36,2,34
deepgazeiie,Action,059,0.6,15,16,2,14
deepgazeiie,Action,059,0.6,25,16,2,14
deepgazeiie,Action,059,0.6,35,16,2,14
deepgazeiie,Action,059,0.7,15,8,2,6
deepgazeiie,Action,059,0.7,25,8,2,6
deepgazeiie,Action,059,0.7,35,8,2,6
