model_name,category,benchmark_metric,structural_metric,spearman_rho,p_value,n_pairs
center_bias_baseline,Social,model_cc,delta_center_distance,-0.5979831932773109,4.523935638458913e-06,50
center_bias_baseline,Social,model_auc,delta_entropy,0.2494597839135654,0.08062527389948854,50
center_bias_baseline,Social,model_auc,delta_num_peaks,-0.12814319155050063,0.37515688997699437,50
center_bias_baseline,Social,model_auc,delta_center_distance,-0.8278031212484994,1.2250043613494538e-13,50
deepgazeiie,Action,model_nss,delta_entropy,-0.6577030812324931,1.7612928094449647e-05,35
deepgazeiie,Action,model_nss,delta_num_peaks,-0.22526551966160646,0.19322875564919714,35
deepgazeiie,Action,model_nss,delta_center_distance,-0.49887955182072835,0.002284404434709782,35
deepgazeiie,Action,model_cc,delta_entropy,-0.5563025210084035,0.0005201911951848622,35
deepgazeiie,Action,model_cc,delta_num_peaks,-0.1330729978476574,0.44601360175362914,35
deepgazeiie,Action,model_cc,delta_center_distance,-0.3089635854341736,0.07092702302828582,35
deepgazeiie,Action,model_auc,delta_entropy,-0.380952380952381,0.023958748979651275,35
deepgazeiie,Action,model_auc,delta_num_peaks,-0.34635630901662523,0.04152702489425872,35
deepgazeiie,Action,model_auc,delta_center_distance,-0.7448179271708684,2.8825417090797e-07,35
deepgazeiie,Affective,model_nss,delta_entropy,-0.526890756302521,0.0011465820592095719,35
deepgazeiie,Affective,model_nss,delta_num_peaks,-0.5555995486767742,0.0005305656593699899,35
deepgazeiie,Affective,model_nss,delta_center_distance,-0.5711484593837535,0.00033924760995638877,35
deepgazeiie,Affective,model_cc,delta_entropy,-0.3988795518207283,0.0176175243652412,35
deepgazeiie,Affective,model_cc,delta_num_peaks,-0.37682172347787346,0.025660157237105883,35
deepgazeiie,Affective,model_cc,delta_center_distance,-0.5428571428571429,0.000753294670384932,35
deepgazeiie,Affective,model_auc,delta_entropy,-0.6448179271708684,2.8994202549558594e-05,35
deepgazeiie,Affective,model_auc,delta_num_peaks,-0.4894432536150574,0.0028449473178141717,35
deepgazeiie,Affective,model_auc,delta_center_distance,-0.49971988795518213,0.0022395203288623823,35
deepgazeiie,Art,model_nss,delta_entropy,-0.5184873949579831,0.0014187238569029477,35
deepgazeiie,Art,model_nss,delta_num_peaks,-0.32588453532302936,0.05607381088037691,35
deepgazeiie,Art,model_nss,delta_center_distance,-0.2717086834733894,0.1143496681717616,35
deepgazeiie,Art,model_cc,delta_entropy,-0.44593837535014,0.0072545931381718335,35
deepgazeiie,Art,model_cc,delta_num_peaks,-0.32504100330752544,0.05675035900225726,35
deepgazeiie,Art,model_cc,delta_center_distance,-0.07703081232492998,0.6600642758322361,35
deepgazeiie,Art,model_auc,delta_entropy,-0.5296918767507003,0.001066701351676861,35
deepgazeiie,Art,model_auc,delta_num_peaks,-0.18417115671836432,0.2895570669750514,35
deepgazeiie,Art,model_auc,delta_center_distance,-0.33165266106442576,0.051617454711256,35
deepgazeiie,BlackWhite,model_nss,delta_entropy,-0.611764705882353,9.430710538252499e-05,35
deepgazeiie,BlackWhite,model_nss,delta_num_peaks,0.001565140395205783,0.9928804059987955,35
deepgazeiie,BlackWhite,model_nss,delta_center_distance,-0.02913165266106443,0.8680616198515847,35
deepgazeiie,BlackWhite,model_cc,delta_entropy,-0.5137254901960784,0.0015968739665548186,35
deepgazeiie,BlackWhite,model_cc,delta_num_peaks,0.09163185586477493,0.6006143263028894,35
deepgazeiie,BlackWhite,model_cc,delta_center_distance,-0.09019607843137256,0.6063571266688004,35
deepgazeiie,BlackWhite,model_auc,delta_entropy,-0.5042016806722689,0.002012907584737665,35
deepgazeiie,BlackWhite,model_auc,delta_num_peaks,0.21342823570987948,0.21830550257919693,35
deepgazeiie,BlackWhite,model_auc,delta_center_distance,0.004201680672268907,0.980888672465843,35
deepgazeiie,Cartoon,model_nss,delta_entropy,-0.39271708683473394,0.01961666795985781,35
deepgazeiie,Cartoon,model_nss,delta_num_peaks,-0.14372219081219145,0.4101206222249242,35
deepgazeiie,Cartoon,model_nss,delta_center_distance,-0.3182072829131653,0.062473013719331685,35
deepgazeiie,Cartoon,model_cc,delta_entropy,-0.403921568627451,0.016111203179887526,35
deepgazeiie,Cartoon,model_cc,delta_num_peaks,-0.14372219081219145,0.4101206222249242,35
deepgazeiie,Cartoon,model_cc,delta_center_distance,-0.18151260504201683,0.2966964525924604,35
deepgazeiie,Cartoon,model_auc,delta_entropy,-0.43501400560224085,0.009011838924984694,35
deepgazeiie,Cartoon,model_auc,delta_num_peaks,-0.022781795412500014,0.8966449131411007,35
deepgazeiie,Cartoon,model_auc,delta_center_distance,-0.44453781512605045,0.007462051606138821,35
deepgazeiie,Fractal,model_nss,delta_entropy,-0.46834733893557423,0.004546866801636353,35
deepgazeiie,Fractal,model_nss,delta_num_peaks,-0.11376856836943776,0.5152155797521476,35
deepgazeiie,Fractal,model_nss,delta_center_distance,0.10980392156862746,0.5300563874467288,35
deepgazeiie,Fractal,model_cc,delta_entropy,-0.6389355742296919,3.612894917148411e-05,35
deepgazeiie,Fractal,model_cc,delta_num_peaks,-0.20568567689096617,0.23586473974648428,35
deepgazeiie,Fractal,model_cc,delta_center_distance,-0.05322128851540616,0.7614008668523369,35
deepgazeiie,Fractal,model_auc,delta_entropy,-0.6638655462184875,1.3760757544294391e-05,35
deepgazeiie,Fractal,model_auc,delta_num_peaks,-0.10953925356016499,0.5310544360409781,35
deepgazeiie,Fractal,model_auc,delta_center_distance,0.19971988795518206,0.25002750656074696,35
deepgazeiie,Indoor,model_nss,delta_entropy,-0.3142857142857143,0.0659568587471358,35
deepgazeiie,Indoor,model_nss,delta_num_peaks,-0.13040189133634958,0.4552764890783231,35
deepgazeiie,Indoor,model_nss,delta_center_distance,-0.3053221288515406,0.07449304342670053,35
deepgazeiie,Indoor,model_cc,delta_entropy,-0.16358543417366947,0.3477392631469135,35
deepgazeiie,Indoor,model_cc,delta_num_peaks,-0.028384894450369198,0.8714152684965568,35
deepgazeiie,Indoor,model_cc,delta_center_distance,-0.2677871148459384,0.11988099145844351,35
deepgazeiie,Indoor,model_auc,delta_entropy,-0.11820728291316528,0.4988480889576118,35
deepgazeiie,Indoor,model_auc,delta_num_peaks,-0.17944311986693792,0.3023309736283608,35
deepgazeiie,Indoor,model_auc,delta_center_distance,-0.5960784313725491,0.00015780585485779383,35
deepgazeiie,Inverted,model_nss,delta_entropy,-0.6602240896358544,1.5932195700020577e-05,35
deepgazeiie,Inverted,model_nss,delta_num_peaks,-0.18155122146628097,0.2965919538205193,35
deepgazeiie,Inverted,model_nss,delta_center_distance,-0.23193277310924368,0.18002886978801397,35
deepgazeiie,Inverted,model_cc,delta_entropy,-0.5722689075630253,0.00032820584815030615,35
deepgazeiie,Inverted,model_cc,delta_num_peaks,-0.17845739739791677,0.3050384756754805,35
deepgazeiie,Inverted,model_cc,delta_center_distance,-0.16442577030812328,0.3452342144883487,35
deepgazeiie,Inverted,model_auc,delta_entropy,-0.6703081232492997,1.0566408015199853e-05,35
deepgazeiie,Inverted,model_auc,delta_num_peaks,-0.006750161603703707,0.969301343973675,35
deepgazeiie,Inverted,model_auc,delta_center_distance,-0.4025210084033614,0.01651837465915697,35
deepgazeiie,Jumbled,model_nss,delta_entropy,-0.1854341736694678,0.28620430580549244,35
deepgazeiie,Jumbled,model_nss,delta_num_peaks,-0.09840533168285318,0.57384436615206,35
deepgazeiie,Jumbled,model_nss,delta_center_distance,-0.29327731092436976,0.0872903518640532,35
deepgazeiie,Jumbled,model_cc,delta_entropy,-0.2123249299719888,0.22075132518640805,35
deepgazeiie,Jumbled,model_cc,delta_num_peaks,-0.061113397630129275,0.727278959588944,35
deepgazeiie,Jumbled,model_cc,delta_center_distance,-0.10224089635854341,0.5589289202330442,35
deepgazeiie,Jumbled,model_auc,delta_entropy,-0.2784313725490196,0.10531619889839995,35
deepgazeiie,Jumbled,model_auc,delta_num_peaks,-0.013470470475318515,0.938781432347748,35
deepgazeiie,Jumbled,model_auc,delta_center_distance,-0.5369747899159664,0.0008815093593815281,35
deepgazeiie,LineDrawing,model_nss,delta_entropy,-0.1980392156862745,0.2541175508725182,35
deepgazeiie,LineDrawing,model_nss,delta_num_peaks,-0.12027479143198005,0.49131532922818333,35
deepgazeiie,LineDrawing,model_nss,delta_center_distance,0.09523809523809525,0.5862947134611407,35
deepgazeiie,LineDrawing,model_cc,delta_entropy,-0.21820728291316527,0.20792593242671367,35
deepgazeiie,LineDrawing,model_cc,delta_num_peaks,-0.12309814334352889,0.4811236388118778,35
deepgazeiie,LineDrawing,model_cc,delta_center_distance,0.1504201680672269,0.38841157292044903,35
deepgazeiie,LineDrawing,model_auc,delta_entropy,0.04005602240896359,0.819288739113402,35
deepgazeiie,LineDrawing,model_auc,delta_num_peaks,-0.036138904467824993,0.8367103541824711,35
deepgazeiie,LineDrawing,model_auc,delta_center_distance,-0.19887955182072833,0.2520670130534286,35
deepgazeiie,LowResolution,model_nss,delta_entropy,-0.0504201680672269,0.7736226328136039,35
deepgazeiie,LowResolution,model_nss,delta_num_peaks,-0.14442987382265007,0.4077949835052326,35
deepgazeiie,LowResolution,model_nss,delta_center_distance,0.05854341736694678,0.7383374395409854,35
deepgazeiie,LowResolution,model_cc,delta_entropy,-0.18375350140056024,0.29067128676550474,35
deepgazeiie,LowResolution,model_cc,delta_num_peaks,-0.1610569227115015,0.35534302843051047,35
deepgazeiie,LowResolution,model_cc,delta_center_distance,-0.19523809523809524,0.2610324576861602,35
deepgazeiie,LowResolution,model_auc,delta_entropy,-0.21344537815126052,0.2182676481021393,35
deepgazeiie,LowResolution,model_auc,delta_num_peaks,-0.11455754870030684,0.5122869613495197,35
deepgazeiie,LowResolution,model_auc,delta_center_distance,0.08319327731092437,0.6346953278613922,35
deepgazeiie,Noisy,model_nss,delta_entropy,-0.4759103641456583,0.0038562324248526607,35
deepgazeiie,Noisy,model_nss,delta_num_peaks,0.049775533764592116,0.7764429927596462,35
deepgazeiie,Noisy,model_nss,delta_center_distance,-0.14985994397759103,0.39020131120452484,35
deepgazeiie,Noisy,model_cc,delta_entropy,-0.37507002801120454,0.02641115652772434,35
deepgazeiie,Noisy,model_cc,delta_num_peaks,0.037930930829108436,0.828730208214944,35
deepgazeiie,Noisy,model_cc,delta_center_distance,-0.134733893557423,0.4403059689302583,35
deepgazeiie,Noisy,model_auc,delta_entropy,-0.6268907563025211,5.590059146357686e-05,35
deepgazeiie,Noisy,model_auc,delta_num_peaks,-0.09306473735022885,0.5949066090958807,35
deepgazeiie,Noisy,model_auc,delta_center_distance,-0.3322128851540616,0.05120014543420856,35
deepgazeiie,Object,model_nss,delta_entropy,-0.43333333333333335,0.009311974573882616,35
deepgazeiie,Object,model_nss,delta_num_peaks,-0.16634183005827702,0.339563591456411,35
