model_name,category,image,threshold_ratio,neighborhood,model_num_peaks
deepgazeiie,LowResolution,021,0.7,25,8
deepgazeiie,LowResolution,023,0.7,25,4
deepgazeiie,LowResolution,025,0.7,25,16
deepgazeiie,LowResolution,027,0.7,25,8
deepgazeiie,LowResolution,029,0.7,25,12
deepgazeiie,LowResolution,031,0.7,25,8
deepgazeiie,LowResolution,033,0.7,25,16
deepgazeiie,LowResolution,035,0.7,25,4
deepgazeiie,LowResolution,037,0.7,25,4
deepgazeiie,LowResolution,039,0.7,25,8
deepgazeiie,LowResolution,041,0.7,25,4
deepgazeiie,LowResolution,043,0.7,25,4
deepgazeiie,LowResolution,045,0.7,25,8
deepgazeiie,LowResolution,047,0.7,25,4
deepgazeiie,LowResolution,049,0.7,25,4
deepgazeiie,LowResolution,051,0.7,25,4
deepgazeiie,LowResolution,053,0.7,25,4
deepgazeiie,LowResolution,055,0.7,25,4
deepgazeiie,LowResolution,057,0.7,25,4
deepgazeiie,LowResolution,059,0.7,25,4
deepgazeiie,LowResolution,061,0.7,25,4
deepgazeiie,LowResolution,063,0.7,25,4
deepgazeiie,LowResolution,065,0.7,25,4
deepgazeiie,LowResolution,067,0.7,25,4
deepgazeiie,LowResolution,069,0.7,25,8
deepgazeiie,Noisy,001,0.7,25,4
deepgazeiie,Noisy,003,0.7,25,8
deepgazeiie,Noisy,005,0.7,25,8
deepgazeiie,Noisy,007,0.7,25,12
deepgazeiie,Noisy,009,0.7,25,8
deepgazeiie,Noisy,011,0.7,25,12
deepgazeiie,Noisy,013,0.7,25,8
deepgazeiie,Noisy,015,0.7,25,4
deepgazeiie,Noisy,017,0.7,25,12
deepgazeiie,Noisy,019,0.7,25,8
deepgazeiie,Noisy,021,0.7,25,4
deepgazeiie,Noisy,023,0.7,25,4
deepgazeiie,Noisy,025,0.7,25,4
deepgazeiie,Noisy,027,0.7,25,8
deepgazeiie,Noisy,029,0.7,25,12
deepgazeiie,Noisy,031,0.7,25,4
deepgazeiie,Noisy,033,0.7,25,8
deepgazeiie,Noisy,035,0.7,25,4
deepgazeiie,Noisy,037,0.7,25,12
deepgazeiie,Noisy,039,0.7,25,4
