category,image,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Art,081,13.0274019241333,262.4297619400832,95,2.365084648132324,0.8176326521092007,0.9096813201904297
Art,083,13.079184532165527,335.2334397026226,1,2.9904050827026367,0.8248378490413285,0.9222977757453918
Art,085,12.882400512695312,203.29252342073502,144,3.0720021724700928,0.8707277938827672,0.9349509477615356
Art,087,13.025943756103516,223.91677617987753,3,2.515202045440674,0.8475019266895744,0.9267048239707947
Art,089,13.457748413085938,345.71020023701107,172,2.253607988357544,0.7771324282026928,0.9024549722671509
Art,091,12.743415832519531,254.87394728925074,24,3.1306166648864746,0.8681473435254592,0.9239519834518433
Art,093,12.830101013183594,201.88392158344777,1,3.2196402549743652,0.8683319769234584,0.8926205039024353
Art,095,13.460138320922852,264.34632988587975,54,1.9629267454147339,0.7605452738876245,0.8641517758369446
Art,097,13.566264152526855,287.7433131328169,198,1.9068843126296997,0.7575879131530017,0.8476186394691467
Art,099,13.433502197265625,260.71477979024525,89,1.964357614517212,0.7696175792749145,0.8737152814865112
BlackWhite,001,12.752276420593262,175.84693112609247,121,2.0873959064483643,0.7201334804725034,0.8439802527427673
BlackWhite,003,13.489838600158691,301.17127799224266,96,1.7598291635513306,0.713612323931037,0.8518421649932861
BlackWhite,005,12.963152885437012,225.86023841787807,123,2.7774083614349365,0.7531924019611522,0.9112147092819214
BlackWhite,007,13.582978248596191,340.0164027508365,124,1.804201364517212,0.656310511968319,0.8652344942092896
BlackWhite,009,13.32049560546875,302.0089119136881,119,1.9710590839385986,0.6623860143772525,0.8746317625045776
BlackWhite,011,13.081058502197266,242.1114396292349,77,3.1475160121917725,0.7789763487330362,0.9126909971237183
BlackWhite,013,13.577205657958984,325.8228320446279,76,2.383549690246582,0.7675736248771535,0.8596869111061096
BlackWhite,015,13.344407081604004,302.50746737159625,130,2.2948498725891113,0.6927467195501613,0.8849708437919617
BlackWhite,017,13.451165199279785,293.1348247418337,110,2.5841848850250244,0.6340632398010901,0.9023051261901855
BlackWhite,019,13.210616111755371,284.59083320568175,94,2.1242003440856934,0.6468078939375098,0.8893347382545471
BlackWhite,021,13.232644081115723,329.2543818639142,2,3.1935110092163086,0.7760602225864507,0.8564198613166809
BlackWhite,023,13.524138450622559,316.20799064485175,73,2.07895827293396,0.7267589920556583,0.8827477693557739
BlackWhite,025,13.263708114624023,271.2068453550935,160,2.819152355194092,0.8355912749081805,0.8962569832801819
BlackWhite,027,12.9979887008667,242.38293528329487,43,3.0738699436187744,0.826286731931593,0.905605673789978
BlackWhite,029,12.976272583007812,202.8144927959543,164,3.4906558990478516,0.87039477363986,0.9044921398162842
BlackWhite,031,12.9144868850708,217.5381133961933,50,3.8252484798431396,0.9275022532232532,0.9006133079528809
BlackWhite,033,13.438672065734863,324.2435865660192,262,2.426535129547119,0.7261738617785234,0.9038525223731995
BlackWhite,035,12.759042739868164,197.1714404185752,4,3.6368632316589355,0.9122816821752735,0.8992529511451721
BlackWhite,037,13.164478302001953,242.65678685760972,144,2.2601399421691895,0.6881061699929545,0.8754250407218933
BlackWhite,039,13.272390365600586,307.85035298875704,3,3.6091887950897217,0.868894357793551,0.9163514375686646
BlackWhite,041,13.203519821166992,264.00485610768385,62,2.5395169258117676,0.8106285526826711,0.8904520869255066
BlackWhite,043,12.970402717590332,249.8784128988874,102,3.2648799419403076,0.8717598822585398,0.916719913482666
BlackWhite,045,13.020139694213867,257.83217822941805,26,2.902123212814331,0.7995938001492651,0.8913105130195618
BlackWhite,047,12.823342323303223,267.27657553167467,87,3.5219786167144775,0.896336998996281,0.9281697869300842
BlackWhite,049,12.818185806274414,279.89613650630315,1,3.2059736251831055,0.8692930302087445,0.887941837310791
BlackWhite,051,12.7791166305542,204.7664785839595,1,3.430107831954956,0.844320503175248,0.8981509804725647
BlackWhite,053,12.880622863769531,217.97685097275271,91,2.8134894371032715,0.8227750084286061,0.9061697721481323
BlackWhite,055,13.44943618774414,318.1876026211524,202,1.9847124814987183,0.6687316591897999,0.8770366311073303
BlackWhite,057,13.23674201965332,339.07898392039,1,2.3853845596313477,0.766815558463277,0.8781062960624695
BlackWhite,059,13.270915985107422,282.7882055305492,111,2.2731549739837646,0.8179431268653263,0.8922791481018066
BlackWhite,061,13.330699920654297,283.7181046411689,464,2.2538602352142334,0.7976658180567799,0.9093104004859924
BlackWhite,063,13.292143821716309,273.2752000517838,132,2.3897054195404053,0.7839041518925163,0.8945114016532898
BlackWhite,065,13.12354564666748,266.1595703485902,34,2.4726014137268066,0.8335861048687947,0.8841859698295593
BlackWhite,067,13.15259838104248,223.79014991865347,288,2.9665188789367676,0.8517025241423033,0.9125857949256897
BlackWhite,069,13.214995384216309,270.69486748068357,3,2.6301090717315674,0.817063388567919,0.912321150302887
BlackWhite,071,13.090307235717773,246.18089347713425,23,2.581589937210083,0.7736888878529259,0.874198853969574
BlackWhite,073,12.931780815124512,281.9165519662536,2,3.4430251121520996,0.8628958361511939,0.8950077891349792
BlackWhite,075,13.493435859680176,304.7190744421709,93,2.087780475616455,0.791574445408901,0.8600888848304749
BlackWhite,077,13.186506271362305,270.59574998386734,55,2.644913911819458,0.751939449547794,0.9165182113647461
BlackWhite,079,13.30235767364502,267.8644250686418,64,2.600569248199463,0.8047045663215113,0.8601914644241333
BlackWhite,081,13.403572082519531,292.09452905660925,59,2.493494749069214,0.8225240197282644,0.8710182309150696
BlackWhite,083,12.257521629333496,153.17190032539702,45,4.69622278213501,0.9200514308163295,0.9270820021629333
BlackWhite,085,13.457842826843262,275.9668081519899,2,2.352058172225952,0.8510715892384713,0.83087557554245
BlackWhite,087,13.363125801086426,298.12089468190254,117,2.564772129058838,0.848800524041259,0.8877635598182678
BlackWhite,089,13.591068267822266,330.039961894609,102,2.1162753105163574,0.749046947337963,0.8531218767166138
BlackWhite,091,12.844388008117676,191.011038477625,59,4.494034767150879,0.8697959463468777,0.9201052784919739
BlackWhite,093,12.999372482299805,251.79138963244586,60,2.626556634902954,0.8142593298934409,0.9051340222358704
BlackWhite,095,12.879170417785645,242.39705083007385,1,2.735764980316162,0.82688708291258,0.8766070008277893
BlackWhite,097,13.117277145385742,217.2741368991827,67,3.0121536254882812,0.8666799223998964,0.8973396420478821
