model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Inverted,023,0.5,35,12,2,10
deepgazeiie,Inverted,025,0.5,35,16,5,11
deepgazeiie,Inverted,027,0.5,35,16,4,12
deepgazeiie,Inverted,029,0.5,35,20,2,18
deepgazeiie,Inverted,031,0.5,35,16,3,13
deepgazeiie,Inverted,033,0.5,35,36,12,24
deepgazeiie,Inverted,035,0.5,35,36,1,35
deepgazeiie,Inverted,037,0.5,35,4,3,1
deepgazeiie,Inverted,039,0.5,35,12,3,9
deepgazeiie,Inverted,041,0.5,35,8,1,7
deepgazeiie,Inverted,043,0.5,35,8,2,6
deepgazeiie,Inverted,045,0.5,35,12,1,11
deepgazeiie,Inverted,047,0.5,35,4,5,1
deepgazeiie,Inverted,049,0.5,35,8,3,5
deepgazeiie,Inverted,051,0.5,35,8,10,2
deepgazeiie,Inverted,053,0.5,35,8,1,7
deepgazeiie,Inverted,055,0.5,35,4,1,3
deepgazeiie,Inverted,057,0.5,35,12,1,11
deepgazeiie,Inverted,059,0.5,35,20,5,15
deepgazeiie,Inverted,061,0.5,35,8,3,5
deepgazeiie,Inverted,063,0.5,35,24,3,21
deepgazeiie,Inverted,065,0.5,35,4,3,1
deepgazeiie,Inverted,067,0.5,35,12,2,10
deepgazeiie,Inverted,069,0.5,35,12,4,8
deepgazeiie,Jumbled,001,0.5,35,24,3,21
deepgazeiie,Jumbled,003,0.5,35,8,1,7
deepgazeiie,Jumbled,005,0.5,35,4,2,2
deepgazeiie,Jumbled,007,0.5,35,24,4,20
deepgazeiie,Jumbled,009,0.5,35,8,11,3
deepgazeiie,Jumbled,011,0.5,35,8,1,7
deepgazeiie,Jumbled,013,0.5,35,16,5,11
deepgazeiie,Jumbled,015,0.5,35,20,4,16
deepgazeiie,Jumbled,017,0.5,35,4,4,0
deepgazeiie,Jumbled,019,0.5,35,16,2,14
deepgazeiie,Jumbled,021,0.5,35,12,5,7
deepgazeiie,Jumbled,023,0.5,35,16,9,7
deepgazeiie,Jumbled,025,0.5,35,12,2,10
deepgazeiie,Jumbled,027,0.5,35,4,1,3
deepgazeiie,Jumbled,029,0.5,35,20,2,18
deepgazeiie,Jumbled,031,0.5,35,8,1,7
deepgazeiie,Jumbled,033,0.5,35,4,2,2
deepgazeiie,Jumbled,035,0.5,35,28,2,26
deepgazeiie,Jumbled,037,0.5,35,8,3,5
deepgazeiie,Jumbled,039,0.5,35,16,2,14
deepgazeiie,Jumbled,041,0.5,35,12,3,9
deepgazeiie,Jumbled,043,0.5,35,4,1,3
deepgazeiie,Jumbled,045,0.5,35,4,3,1
deepgazeiie,Jumbled,047,0.5,35,8,2,6
deepgazeiie,Jumbled,049,0.5,35,12,5,7
deepgazeiie,Jumbled,051,0.5,35,4,5,1
deepgazeiie,Jumbled,053,0.5,35,16,3,13
deepgazeiie,Jumbled,055,0.5,35,16,7,9
deepgazeiie,Jumbled,057,0.5,35,20,4,16
deepgazeiie,Jumbled,059,0.5,35,8,6,2
deepgazeiie,Jumbled,061,0.5,35,20,7,13
deepgazeiie,Jumbled,063,0.5,35,20,4,16
deepgazeiie,Jumbled,065,0.5,35,16,1,15
deepgazeiie,Jumbled,067,0.5,35,28,3,25
deepgazeiie,Jumbled,069,0.5,35,8,5,3
deepgazeiie,LineDrawing,001,0.5,35,16,2,14
deepgazeiie,LineDrawing,003,0.5,35,16,5,11
deepgazeiie,LineDrawing,005,0.5,35,8,3,5
deepgazeiie,LineDrawing,007,0.5,35,8,9,1
deepgazeiie,LineDrawing,009,0.5,35,8,3,5
deepgazeiie,LineDrawing,011,0.5,35,12,2,10
deepgazeiie,LineDrawing,013,0.5,35,12,3,9
deepgazeiie,LineDrawing,015,0.5,35,16,1,15
deepgazeiie,LineDrawing,017,0.5,35,20,7,13
deepgazeiie,LineDrawing,019,0.5,35,4,7,3
deepgazeiie,LineDrawing,021,0.5,35,12,5,7
deepgazeiie,LineDrawing,023,0.5,35,28,1,27
deepgazeiie,LineDrawing,025,0.5,35,4,2,2
deepgazeiie,LineDrawing,027,0.5,35,4,1,3
